"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"100",13,19,39,71,52,45,115,110,89,10,7,28,20,17,38,7,2,7,7,2,2,2,4,4,2,5,4,2,5,3,4,7,7,6,2,4,5,2,4,4,2,4,7,2,2,2,3,9,6,1.34892980873351
"101",18,11,24,53,61,25,80,88,87,5,4,11,10,3,28,2,5,11,4,6,2,4,2,5,2,2,2,5,2,2,3,2,2,5,4,3,4,2,3,4,3,6,2,4,5,4,3,2,5,0.833944548659011
"102",13,7,26,46,60,20,71,82,69,10,4,17,18,25,22,4,5,3,5,5,2,6,5,5,5,2,4,5,2,2,3,4,2,2,2,3,2,3,5,4,2,4,3,5,3,4,2,2,8,0.58428479805553
"103",19,16,28,63,55,42,115,110,110,7,4,22,12,5,32,2,5,10,5,2,6,2,2,4,2,3,2,2,2,3,3,4,3,4,6,3,3,2,2,4,2,2,2,2,4,2,3,3,4,3.83483262546394
"104",11,8,28,47,55,30,94,97,79,7,6,31,18,11,38,3,2,11,5,2,2,3,2,4,2,3,4,2,2,4,2,3,2,4,2,2,5,2,2,4,2,2,2,3,4,2,4,2,8,0.82717321806303
"105",13,13,20,46,52,27,83,90,71,12,8,36,18,28,37,2,5,6,5,4,6,2,3,6,2,5,4,2,3,4,5,4,2,4,2,4,4,5,2,4,2,2,2,3,3,2,4,8,8,0.6226558468084
"106",13,13,25,51,60,43,117,112,103,8,9,26,22,14,38,9,4,14,4,2,4,4,4,4,2,2,2,2,2,3,2,2,3,6,5,4,4,3,2,4,2,2,2,2,2,2,3,1,4,0.449020291806351
"107",15,22,31,68,62,31,96,96,72,9,6,29,20,11,37,9,2,1,7,5,6,2,2,6,2,2,2,3,3,4,3,4,3,6,6,5,5,2,2,5,2,2,2,2,2,3,6,3,5,0.814485298368722
"108",16,19,45,80,52,28,90,95,78,13,8,21,28,21,39,3,2,3,4,6,5,5,4,4,4,2,2,4,2,2,2,4,2,5,2,2,4,2,2,5,3,5,2,4,2,3,2,1,5,0.397094590777141
"109",21,18,39,78,51,35,103,103,97,12,8,30,17,15,38,3,5,1,5,6,5,4,5,4,3,3,2,5,2,2,2,4,2,4,2,4,2,3,2,4,4,4,4,4,2,3,3,2,5,0.271002774788434
"110",19,15,40,74,45,18,67,80,72,14,7,38,26,37,39,3,3,11,4,2,2,3,2,6,3,4,3,5,3,6,4,4,2,5,2,4,5,2,2,4,2,3,3,2,2,2,5,6,8,0.337392761793333
"111",14,15,34,63,64,25,80,88,85,15,8,38,30,31,39,6,4,4,5,5,4,2,2,3,4,5,5,4,4,5,4,4,2,2,2,2,2,2,4,5,3,4,4,4,2,5,2,8,11,0.628993580674983
"112",21,20,47,88,45,32,92,96,110,5,6,18,13,7,22,8,5,1,3,3,2,4,4,2,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,3,2,2,2,2,1,3,0.580093087218448
"113",15,20,45,80,45,27,83,90,84,8,8,24,19,31,36,2,4,8,2,2,2,2,2,5,4,4,3,2,2,3,3,2,2,6,4,2,5,3,2,2,2,4,2,2,3,2,5,4,5,0.996674794506198
"114",16,13,38,67,55,39,104,104,101,10,7,26,18,17,35,10,5,4,4,3,4,3,3,4,4,2,3,2,2,2,2,3,2,4,2,2,4,2,2,4,2,2,2,3,4,2,2,1,5,1.68993762146353
"115",24,20,47,91,43,25,85,92,95,10,5,34,31,23,39,5,5,3,2,4,2,2,2,4,2,3,4,2,2,4,3,2,2,3,4,3,4,2,2,2,2,3,2,2,2,2,4,3,7,0.232760764771747
"116",18,19,31,68,50,50,124,116,117,3,6,27,7,9,38,2,3,17,7,3,3,4,6,7,2,5,4,3,3,6,2,5,2,6,6,3,5,2,3,6,2,3,6,2,5,3,4,5,9,0.416703456333198
"117",17,18,36,71,51,42,115,110,110,7,7,11,2,12,28,9,5,13,4,6,3,2,4,6,2,5,5,5,3,6,2,5,5,4,3,3,4,4,2,4,4,3,4,2,4,3,6,5,10,0.702869454142095
"118",18,14,37,69,52,32,92,96,90,2,3,30,18,3,38,9,5,7,5,4,2,2,2,6,2,3,3,3,2,3,2,4,6,5,2,5,6,2,2,4,2,3,2,4,2,3,4,2,7,1.49311527436721
"119",13,14,26,53,69,35,97,99,78,17,9,32,28,36,36,0,2,4,2,3,6,2,4,4,2,2,3,5,2,4,3,3,2,6,3,4,2,5,2,2,4,3,2,2,4,2,3,2,6,1.05930208278532
"120",18,24,31,73,42,36,99,100,84,10,4,14,11,5,34,1,5,6,3,4,2,5,2,5,2,2,2,4,2,4,2,3,6,6,2,2,5,2,2,2,2,2,3,5,2,3,7,1,8,1.72725734835973
"121",14,25,30,69,59,47,124,116,137,6,4,15,15,9,38,10,4,2,4,2,4,2,2,4,2,3,4,5,2,3,3,3,3,4,2,2,2,3,2,3,2,4,5,3,4,3,2,3,7,0.954052458827731
"122",20,11,26,57,61,43,111,108,91,12,8,39,27,42,39,6,3,2,3,2,5,3,2,2,2,3,4,4,2,4,3,3,5,2,2,2,2,2,2,3,3,3,2,2,2,2,3,3,7,0.271836083401975
"123",21,14,34,69,65,26,81,89,95,15,8,30,25,18,38,4,2,12,5,4,5,4,2,6,4,2,3,4,2,4,2,4,2,5,6,4,6,2,2,4,2,3,2,4,5,2,4,1,8,0.562295541689224
"124",23,33,50,106,51,33,99,100,76,13,3,12,11,8,31,0,5,3,4,2,3,2,4,4,2,6,4,2,5,6,5,4,3,3,2,3,2,4,2,4,2,2,3,2,2,2,6,11,9,0.697416401518874
"125",18,25,44,87,67,20,76,86,93,12,8,18,9,9,39,6,5,8,6,3,4,2,4,4,2,3,4,3,2,4,2,4,2,5,3,4,4,2,2,4,2,2,4,2,2,2,3,2,7,0.261955132289578
"126",17,8,33,58,75,48,120,114,127,11,8,27,22,21,36,4,5,8,5,4,6,2,3,5,2,6,4,3,4,4,2,4,5,6,2,4,5,4,2,4,4,2,2,3,2,2,4,7,8,0.715973498082645
"127",15,16,30,61,70,48,120,114,116,12,5,33,23,18,37,9,2,5,2,2,2,2,2,4,2,4,5,3,4,6,4,2,2,5,4,3,3,2,2,2,3,3,2,4,2,2,5,7,12,0.111197299016419
"128",11,18,28,57,51,37,106,105,108,10,7,22,14,22,36,5,5,4,4,2,2,2,2,4,2,2,3,2,2,2,4,3,2,4,2,3,4,2,2,2,4,4,2,2,2,2,2,3,4,0.297816525520867
"129",21,12,40,73,50,31,90,95,97,15,4,36,23,16,36,2,5,4,6,3,5,2,2,5,3,4,4,2,4,3,4,3,4,5,2,4,5,2,3,4,2,3,2,2,2,3,2,7,6,0.149615413759797
"130",14,28,40,82,60,41,113,109,110,11,5,29,23,26,39,5,4,1,4,3,2,4,2,5,4,2,2,4,3,2,3,4,2,3,2,2,2,2,3,4,2,3,4,3,4,3,2,3,4,0.218556569180416
"131",22,19,34,75,55,48,120,114,121,7,7,24,12,3,34,7,5,1,5,3,4,2,4,4,2,4,4,2,2,3,2,4,6,4,4,2,4,3,2,4,2,2,3,2,4,2,4,3,6,0.710132559991582
"132",25,21,45,91,55,43,117,112,118,7,7,22,25,12,36,9,5,1,2,4,2,2,4,4,2,2,4,2,2,4,2,2,2,3,2,2,4,2,2,2,2,4,3,3,2,2,4,1,8,1.02992328428398
"133",21,22,39,82,58,40,111,108,79,10,4,17,4,2,36,9,5,5,2,3,3,3,2,5,2,2,2,4,2,2,3,2,2,6,3,4,2,2,2,2,2,2,4,3,2,2,4,2,4,0.480598606832922
"134",16,17,39,72,42,44,113,109,110,5,6,15,7,2,31,4,4,2,2,2,2,2,2,5,2,2,3,3,2,4,2,2,2,2,2,2,2,2,2,2,3,2,4,2,4,2,3,1,6,0.508963514644527
"135",21,18,40,79,41,32,92,96,93,6,6,16,16,4,31,3,5,1,2,2,2,2,2,4,4,4,3,2,4,3,3,2,3,4,5,4,2,3,3,2,2,2,3,2,4,2,4,6,5,0.930995642377324
"136",16,16,32,64,68,49,122,115,95,15,6,28,18,12,39,7,4,18,5,4,6,4,4,6,2,3,5,6,4,5,2,5,6,5,5,2,6,2,3,5,3,4,3,5,2,4,5,4,12,0.503979893041816
"137",15,17,34,66,55,41,113,109,85,10,5,31,34,30,37,6,2,10,5,2,2,2,2,7,3,2,4,2,4,6,4,4,2,5,7,4,6,2,4,2,3,3,5,2,2,4,7,5,9,0.576946174864231
"138",20,15,35,70,55,37,106,105,110,11,9,30,31,19,34,2,5,13,5,2,4,2,2,6,2,5,3,2,4,3,2,4,2,6,5,6,6,2,3,4,2,4,2,2,2,2,6,6,5,0.353994900127034
"139",24,14,43,81,57,35,103,103,108,9,6,11,12,6,25,2,5,5,7,7,6,4,5,3,4,2,2,4,2,2,2,5,2,4,5,3,3,2,3,5,3,6,4,6,4,5,3,1,7,0.671939626715581
"140",10,9,27,46,90,48,126,117,126,13,9,36,21,33,39,9,5,9,5,3,8,2,3,2,2,2,3,2,2,6,6,4,2,5,6,4,5,5,2,6,2,4,3,3,2,5,3,5,9,0.428795622082442
"141",20,24,43,87,40,27,83,90,67,9,1,23,10,6,35,5,4,6,4,2,4,2,2,6,2,3,4,4,2,3,2,4,3,5,2,4,2,3,3,4,3,2,4,3,2,2,6,2,7,0.899122246957424
"142",19,18,34,71,58,48,126,117,106,16,9,35,31,38,39,7,4,2,3,3,4,2,2,2,2,2,3,4,2,4,2,2,2,3,3,2,3,2,2,3,2,2,3,3,2,2,2,1,7,0.412256910480051
"143",14,17,34,65,73,39,110,107,95,10,7,36,17,16,39,6,5,5,4,3,5,4,2,4,2,3,2,4,3,2,3,4,2,4,2,3,2,2,4,4,2,3,2,3,2,2,2,4,4,0.566409198202025
"144",14,18,27,59,63,43,117,112,99,11,8,27,14,17,39,8,1,7,4,2,5,2,2,4,2,2,3,3,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,3,2,2,4,1,5,0.262880087336774
"145",17,14,34,65,66,44,113,109,117,14,7,32,28,16,39,8,2,3,5,5,6,2,2,5,2,4,4,5,3,4,4,4,3,6,5,5,4,3,2,4,2,4,3,4,2,2,4,6,9,0.785800548901751
"146",14,21,22,57,70,32,94,97,95,13,8,25,20,13,21,4,5,9,4,3,5,2,2,4,3,2,3,4,2,5,2,3,4,5,4,2,5,2,2,4,2,2,2,2,2,3,4,1,7,1.05463416856798
"147",28,29,51,108,44,47,124,116,88,12,4,34,18,8,34,6,4,9,5,2,6,3,4,4,2,2,5,2,2,6,2,4,2,4,2,2,6,2,2,5,2,2,2,2,2,2,5,1,10,0.364864810542695
"148",23,15,29,67,73,34,101,102,97,11,8,30,33,36,36,7,4,6,6,4,3,2,2,4,2,5,4,3,2,4,3,2,2,5,2,4,2,4,2,5,2,3,3,3,2,2,4,5,8,0.539563532355591
"149",20,15,42,77,70,44,119,113,97,8,6,30,15,6,36,5,5,8,2,5,2,2,2,4,2,4,2,5,2,3,3,3,3,4,4,3,4,4,2,2,2,4,6,4,2,2,3,4,6,2.73939063531325
"150",21,20,31,72,55,41,113,109,76,10,7,23,15,9,32,3,5,6,7,4,4,2,2,7,2,4,4,4,5,5,3,4,4,5,3,4,4,5,3,4,4,4,2,2,2,2,5,7,8,0.247431421175199
"151",9,15,23,47,60,48,120,114,97,10,9,19,16,16,34,7,5,5,2,2,5,2,2,5,2,2,2,2,2,2,2,2,4,2,2,2,5,3,2,2,2,2,2,2,2,2,3,1,3,0.332221645974828
"152",21,15,29,65,60,32,92,96,102,13,8,37,33,45,39,5,5,4,5,2,5,2,2,2,2,3,2,4,2,2,3,4,2,2,2,2,2,3,2,4,3,2,2,2,2,2,2,3,3,1.10379988170736
"153",10,24,29,63,50,27,89,94,84,9,6,38,24,17,39,4,4,1,5,2,5,2,2,7,2,2,2,2,2,4,2,4,2,5,2,2,3,2,2,4,2,2,2,2,2,2,4,1,5,0.239778216738868
"154",10,19,28,57,51,26,81,89,75,9,4,34,23,17,37,4,5,12,7,2,6,5,2,7,2,4,5,2,2,4,2,2,2,7,2,5,8,2,3,6,2,2,4,2,4,3,4,3,8,0.403127960481913
"155",11,30,34,75,45,29,89,94,65,15,0,25,16,20,36,1,4,3,7,4,7,4,4,7,3,4,6,5,3,4,6,5,2,4,2,3,2,2,4,6,7,4,6,3,2,3,5,8,10,0.805635018461576
"156",9,15,24,48,51,42,110,107,111,8,7,34,18,13,39,10,5,4,2,2,4,2,2,4,2,2,3,4,2,6,2,2,4,5,2,6,4,2,2,2,2,3,2,2,2,2,5,1,8,0.318235948184446
"157",11,25,29,65,60,21,73,84,64,3,8,38,17,8,38,1,5,17,6,4,6,3,2,6,2,5,4,2,3,5,5,4,3,5,3,4,6,2,2,6,5,4,2,4,4,2,4,8,10,0.412735158363259
"158",11,29,30,70,51,21,78,87,79,13,8,39,39,33,39,4,3,6,3,2,4,2,2,7,2,6,4,5,4,8,4,4,4,6,2,3,4,5,2,3,2,2,4,3,4,2,8,9,12,0.446639551600188
"159",12,19,37,68,52,31,96,98,77,10,8,37,20,31,37,6,5,10,4,4,2,4,2,5,3,2,2,4,2,2,2,4,2,5,2,4,5,2,2,4,3,2,2,2,4,2,2,1,3,0.248221394261007
"160",13,15,29,57,67,28,85,92,101,11,8,31,25,22,39,10,4,10,5,4,2,2,3,2,2,4,5,2,3,4,3,5,6,4,4,4,4,3,2,4,2,3,4,2,2,4,4,5,8,0.723967694001632
"161",11,19,35,65,60,30,89,94,69,10,9,26,15,19,39,6,5,7,4,3,2,3,3,3,4,3,5,4,3,5,3,4,3,5,3,3,5,3,4,4,4,4,5,3,4,2,5,4,10,0.607220933269398
"162",15,19,30,64,58,37,101,102,85,10,5,22,12,19,35,5,4,7,4,2,2,2,4,5,2,5,3,6,3,4,5,2,2,4,2,2,2,2,2,2,2,4,2,2,2,2,4,8,6,0.320017815247285
"163",23,14,39,76,37,38,103,103,90,3,8,28,18,13,38,2,5,1,2,5,2,3,3,5,2,5,3,5,3,5,2,3,2,5,2,4,2,3,2,2,3,3,5,3,2,2,3,5,8,0.315715324239542
"164",12,16,23,51,64,21,73,84,64,12,9,31,22,27,35,4,5,6,4,4,4,3,2,3,5,2,2,6,3,2,3,4,2,2,5,2,2,2,3,4,2,4,2,3,4,2,2,3,4,0.682360358886925
"165",27,31,60,118,30,37,106,105,81,12,7,24,16,17,30,4,5,11,2,6,6,4,2,5,4,6,6,2,5,7,7,2,2,6,2,5,6,5,4,2,4,2,2,5,3,4,7,13,15,1.34386026316078
"166",17,23,44,84,53,35,100,101,75,10,6,22,6,2,39,2,5,1,2,5,5,2,2,2,2,5,5,5,3,6,2,2,2,2,2,2,2,5,2,2,4,2,3,4,2,2,2,5,12,0.291163968978285
"167",10,11,25,46,65,44,119,113,87,7,7,26,14,7,36,4,5,1,4,4,3,3,3,4,4,4,5,2,7,5,6,3,2,2,3,2,4,5,6,4,2,6,7,5,3,3,4,12,12,0.895561582399223
"168",17,19,33,69,60,12,62,77,87,10,7,28,9,17,39,5,5,5,6,2,4,2,2,7,2,3,6,2,3,2,6,2,3,6,3,2,6,2,2,5,2,3,5,2,2,2,6,7,7,0.88733156156335
"169",13,16,30,59,65,34,101,102,64,9,8,32,25,37,39,3,3,6,4,3,4,2,3,2,2,2,4,3,2,4,2,4,3,3,3,2,4,2,2,4,2,3,2,2,3,2,3,1,7,0.402211552904591
"170",11,17,29,57,65,38,108,106,103,9,7,32,24,13,39,8,5,6,4,3,4,4,4,3,4,4,2,5,3,4,4,4,4,4,2,4,3,4,2,4,2,3,2,2,4,3,2,6,5,0.540838707392641
"171",17,20,37,74,30,38,103,103,78,13,6,31,18,5,39,0,5,12,6,7,7,4,2,7,2,7,6,5,2,6,5,5,2,5,2,4,5,6,2,4,4,7,5,2,2,6,6,9,11,0.185685376734266
"172",10,15,36,61,68,33,99,100,95,6,8,27,17,15,38,6,4,11,4,5,4,3,4,5,3,3,5,4,2,5,2,4,5,3,4,3,2,2,3,5,4,4,5,2,4,3,5,2,9,0.400401888854324
"173",14,10,19,43,77,37,106,105,78,9,9,30,17,23,37,5,2,4,5,4,2,2,2,6,2,5,5,7,6,6,7,4,2,4,4,5,4,5,3,4,4,3,5,4,2,5,6,13,12,0.423952832885912
"174",13,11,25,49,78,49,122,115,113,14,9,32,13,12,39,10,5,15,7,4,2,4,2,7,2,5,5,5,3,3,2,6,2,7,6,5,6,3,2,4,4,3,2,4,3,4,7,5,9,1.01882641271222
"175",16,18,32,66,31,30,89,94,87,8,3,36,23,7,38,0,4,1,3,4,2,2,2,3,2,3,2,2,2,2,2,2,3,3,2,5,2,2,3,2,3,2,4,3,2,2,2,2,4,0.878553481677363
"176",23,27,42,92,25,31,96,98,77,9,0,20,11,1,26,0,5,5,2,5,2,4,2,5,3,3,2,5,2,3,2,3,3,6,4,4,3,3,2,2,4,4,3,4,4,3,5,2,6,0.507344585630194
"177",16,26,23,65,47,43,111,108,70,10,6,27,6,13,37,3,5,1,4,3,2,2,5,4,4,4,5,4,5,3,5,4,2,2,2,3,3,2,3,2,3,2,5,2,2,4,2,9,7,0.58978945818625
"178",24,23,48,95,50,32,92,96,97,8,7,31,14,16,39,2,2,10,5,4,5,2,2,5,3,6,5,5,4,6,3,4,2,6,2,4,5,2,2,4,3,2,3,3,3,3,4,8,11,0.632139653065206
"179",15,29,33,77,45,31,96,98,101,13,6,24,7,10,39,2,5,13,3,3,2,4,2,7,2,4,5,2,2,6,2,3,2,7,5,4,6,2,2,2,2,2,3,2,3,3,7,3,10,0.356240886466048
"180",13,10,31,54,64,29,92,96,84,8,8,28,16,8,36,6,4,16,5,4,2,2,2,6,2,3,5,6,3,6,4,4,2,5,4,4,5,2,2,6,3,4,5,3,5,3,2,5,11,0.268544310548988
"181",19,26,35,80,50,43,111,108,91,6,5,20,10,5,37,5,4,5,5,2,5,2,2,4,3,3,2,3,3,3,3,4,4,2,2,2,5,4,2,4,3,2,3,2,2,2,2,4,4,1.22442500293012
"182",16,16,40,72,62,36,104,104,84,11,9,19,13,10,37,10,5,7,7,3,6,2,5,4,2,2,5,3,2,5,2,4,3,4,4,3,7,2,2,5,2,2,5,2,2,4,3,1,9,0.359756070857875
"183",11,14,32,57,50,32,92,96,88,11,6,11,15,5,22,2,4,3,3,4,2,2,2,4,2,5,3,5,3,5,2,3,4,4,3,3,4,3,2,3,2,4,3,3,3,2,4,5,6,0.941080350656632
"184",18,15,31,64,45,45,115,110,103,10,6,33,17,11,37,2,4,4,2,2,2,2,2,6,2,3,3,3,4,4,4,2,2,5,4,4,2,2,2,2,3,2,2,3,2,2,4,6,7,0.297454602616795
"185",10,16,27,53,70,45,115,110,98,10,9,26,20,30,38,4,5,3,4,3,5,2,2,5,2,2,4,4,2,4,5,4,2,5,2,2,4,5,2,4,2,2,4,2,4,2,4,4,7,1.12274637514873
"186",13,8,18,39,91,47,124,116,87,16,9,31,20,38,39,9,5,16,5,3,5,2,2,4,4,6,5,3,3,6,2,4,4,6,6,4,6,2,2,4,3,2,3,2,4,2,5,6,10,0.650025705618357
"187",17,23,25,65,45,29,87,93,88,12,9,28,16,25,39,4,5,14,7,6,5,5,3,6,2,6,6,6,3,6,5,6,6,5,6,2,6,4,2,6,6,6,5,5,3,6,6,9,14,1.30309240878323
"188",16,15,32,63,53,25,85,92,74,11,8,35,21,33,35,4,5,15,5,2,5,4,2,6,2,2,5,2,5,7,2,4,2,6,6,4,6,2,4,4,2,3,2,2,2,2,6,4,11,0.618025915803416
"189",22,21,42,85,50,8,50,70,75,3,9,23,17,20,21,2,5,3,4,5,6,5,2,3,2,2,3,3,2,2,2,4,5,6,6,6,4,2,2,4,3,3,2,3,3,2,6,1,5,0.794198567708342
"190",16,19,44,79,55,48,120,114,99,13,7,17,6,7,24,10,5,2,2,2,5,2,2,3,3,5,2,2,3,2,5,2,2,4,2,4,2,2,2,2,2,2,2,2,2,2,3,8,3,0.841801725760705
"191",29,26,41,96,45,17,71,83,70,11,7,23,13,14,36,3,4,10,5,2,6,4,2,6,2,5,4,2,2,4,3,2,5,6,6,6,5,3,2,4,2,3,3,2,2,2,4,5,7,0.545809077293279
"192",13,22,31,66,48,30,94,97,74,12,8,18,22,18,27,4,4,5,7,5,4,4,4,6,4,2,2,5,2,2,3,3,6,5,4,3,5,2,2,5,4,3,2,2,4,4,3,2,3,0.258893670785675
"193",9,20,30,59,59,20,76,86,75,10,6,21,15,28,39,4,5,12,4,2,5,2,2,6,2,2,2,3,3,2,4,4,2,6,5,6,8,2,2,5,2,3,3,2,2,2,6,4,3,0.373497724866346
"194",18,18,44,80,45,42,115,110,104,14,5,21,20,33,28,0,3,4,4,3,6,2,2,5,2,4,4,4,2,5,3,4,2,3,2,2,5,4,2,3,4,3,2,3,4,3,5,4,9,0.599997800868392
"195",10,11,22,43,62,25,85,92,74,12,9,34,22,27,37,5,4,6,5,4,2,2,2,2,2,3,3,2,2,2,3,4,6,4,2,4,6,2,2,4,2,4,3,4,2,3,4,3,6,0.535551552542008
"196",26,15,36,77,75,42,115,110,110,9,7,22,23,14,27,9,2,4,3,1,3,2,3,1,1,3,1,4,3,3,1,1,2,1,2,3,1,1,2,3,2,3,3,3,2,2,3,16,6,0.257887988009483
"197",12,14,21,47,65,45,115,110,93,13,9,36,25,32,39,5,4,6,4,4,6,2,2,5,2,4,2,2,2,4,4,4,2,4,2,3,4,4,2,4,4,3,2,3,4,2,2,5,6,1.32251615038755
"198",16,13,42,71,42,14,60,76,72,11,5,26,11,6,15,5,5,4,4,3,5,2,2,5,2,6,4,5,3,2,3,4,2,6,2,4,4,4,2,4,4,3,2,3,2,2,2,7,6,2.01850196773136
"199",11,8,26,45,70,38,108,106,74,11,7,32,25,32,37,5,3,2,2,4,2,2,2,3,2,5,5,4,4,5,3,4,2,5,2,4,3,4,2,2,2,3,3,4,2,5,4,7,11,0.37197603336468
"200",16,24,41,81,51,7,53,71,64,11,4,31,24,28,34,5,5,3,5,4,4,4,2,4,2,5,4,2,3,4,4,4,2,4,2,3,3,3,2,3,2,4,4,2,3,4,3,7,7,0.776400083993839
"201",16,16,40,72,42,27,89,94,88,8,3,11,8,6,20,1,5,7,6,6,7,5,2,6,2,4,2,6,2,4,2,6,5,7,5,7,6,2,2,7,4,5,6,4,4,6,6,3,7,0.494824227538221
